"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-11","Ontario","2021A000235","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063952","7.1.2.1.1.1","6737.3","","","","1"
"2024-12","Ontario","2021A000235","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063952","7.1.2.1.1.1","6749.3","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063952","7.1.2.1.1.1","6760.1","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066031","7.1.2.1.1.2","6690.1","","","","1"
"2024-09","Ontario","2021A000235","Population","Men+","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066031","7.1.2.1.1.2","6709.3","","","","1"
"2024-10","Ontario","2021A000235","Population","Men+","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066031","7.1.2.1.1.2","6724.9","","","","1"
"2024-11","Ontario","2021A000235","Population","Men+","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066031","7.1.2.1.1.2","6737.3","","","","1"
"2024-12","Ontario","2021A000235","Population","Men+","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066031","7.1.2.1.1.2","6749.3","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066031","7.1.2.1.1.2","6760.1","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581323","7.1.2.8.1.1","5365.1","","","","1"
"2024-09","Ontario","2021A000235","Population","Men+","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581323","7.1.2.8.1.1","5379.3","","","","1"
"2024-10","Ontario","2021A000235","Population","Men+","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581323","7.1.2.8.1.1","5391.1","","","","1"
"2024-11","Ontario","2021A000235","Population","Men+","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581323","7.1.2.8.1.1","5400.0","","","","1"
"2024-12","Ontario","2021A000235","Population","Men+","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581323","7.1.2.8.1.1","5408.3","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581323","7.1.2.8.1.1","5415.3","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581324","7.1.2.8.1.2","5365.1","","","","1"
"2024-09","Ontario","2021A000235","Population","Men+","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581324","7.1.2.8.1.2","5379.3","","","","1"
"2024-10","Ontario","2021A000235","Population","Men+","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581324","7.1.2.8.1.2","5391.1","","","","1"
"2024-11","Ontario","2021A000235","Population","Men+","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581324","7.1.2.8.1.2","5400.0","","","","1"
"2024-12","Ontario","2021A000235","Population","Men+","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581324","7.1.2.8.1.2","5408.3","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581324","7.1.2.8.1.2","5415.3","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","15 to 24 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063979","7.1.2.2.1.1","1085.0","","","","1"
"2024-09","Ontario","2021A000235","Population","Men+","15 to 24 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063979","7.1.2.2.1.1","1088.6","","","","1"
"2024-10","Ontario","2021A000235","Population","Men+","15 to 24 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063979","7.1.2.2.1.1","1091.5","","","","1"
"2024-11","Ontario","2021A000235","Population","Men+","15 to 24 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063979","7.1.2.2.1.1","1093.4","","","","1"
"2024-12","Ontario","2021A000235","Population","Men+","15 to 24 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063979","7.1.2.2.1.1","1094.9","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","15 to 24 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063979","7.1.2.2.1.1","1095.9","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","15 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066058","7.1.2.2.1.2","1085.0","","","","1"
"2024-09","Ontario","2021A000235","Population","Men+","15 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066058","7.1.2.2.1.2","1088.6","","","","1"
"2024-10","Ontario","2021A000235","Population","Men+","15 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066058","7.1.2.2.1.2","1091.5","","","","1"
"2024-11","Ontario","2021A000235","Population","Men+","15 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066058","7.1.2.2.1.2","1093.4","","","","1"
"2024-12","Ontario","2021A000235","Population","Men+","15 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066058","7.1.2.2.1.2","1094.9","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","15 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066058","7.1.2.2.1.2","1095.9","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066085","7.1.2.3.1.2","471.6","","","","1"
"2024-09","Ontario","2021A000235","Population","Men+","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066085","7.1.2.3.1.2","472.2","","","","1"
"2024-10","Ontario","2021A000235","Population","Men+","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066085","7.1.2.3.1.2","472.8","","","","1"
"2024-11","Ontario","2021A000235","Population","Men+","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066085","7.1.2.3.1.2","473.1","","","","1"
"2024-12","Ontario","2021A000235","Population","Men+","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066085","7.1.2.3.1.2","473.5","","","","1"
"2025-01","Ontario","2021A000235","Population","Men+","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066085","7.1.2.3.1.2","473.6","","","","1"
